INSTNM,MD_EARN_WNE_P10,PCT10_EARN_WNE_P10,PCT25_EARN_WNE_P10,PCT75_EARN_WNE_P10,PCT90_EARN_WNE_P10
Alabama A & M University,40628.0,6700,23030.0,60507.0,70000
University of Alabama at Birmingham,54501.0,10900,33873.0,80711.0,84000
Amridge University,37621.0,6800,21760.0,57946.0,79500
University of Alabama in Huntsville,61767.0,12900,37446.0,91119.0,93300
Alabama State University,34502.0,7100,18132.0,51026.0,55400
The University of Alabama,59221.0,13100,39848.0,87405.0,85000
Central Alabama Community College,33506.0,7000,18635.0,50656.0,58800
Athens State University,50273.0,12600,33492.0,70554.0,74000
Auburn University at Montgomery,44391.0,9500,26860.0,63615.0,66300
Auburn University,65337.0,13800,43620.0,95597.0,91400
Birmingham-Southern College,59481.0,9800,33426.0,92516.0,77600
Chattahoochee Valley Community College,36438.0,5500,20404.0,52873.0,58700
South University-Montgomery,34421.0,7100,17463.0,53014.0,67200
Enterprise State Community College,42572.0,5700,21710.0,71583.0,58700
Coastal Alabama Community College,34894.0,5100,18526.0,54820.0,59500
Faulkner University,43457.0,9800,25494.0,64288.0,80700
Gadsden State Community College,32937.0,5600,17231.0,51839.0,58300
George C Wallace Community College-Dothan,31399.0,7100,16986.0,49632.0,64200
George C Wallace State Community College-Hanceville,39842.0,4900,22380.0,58549.0,57100
George C Wallace State Community College-Selma,31598.0,6100,15581.0,49326.0,57100
Herzing University-Birmingham,36909.0,12300,19077.0,56514.0,77200
Huntingdon College,49601.0,9100,34151.0,71130.0,73200
J. F. Drake State Community and Technical College,28281.0,7000,13620.0,45400.0,49500
Jacksonville State University,45235.0,9000,28035.0,64633.0,64200
Jefferson State Community College,40719.0,8000,24505.0,62034.0,61200
John C Calhoun State Community College,38192.0,6000,21172.0,57398.0,62800
Lawson State Community College,31701.0,6100,15415.0,47563.0,51500
University of West Alabama,44232.0,8500,27937.0,62576.0,63700
Lurleen B Wallace Community College,32307.0,7900,17935.0,49606.0,60100
Marion Military Institute,59644.0,PS,34500.0,83934.0,PS
Miles College,32627.0,6400,17195.0,47772.0,51200
University of Mobile,43611.0,9600,28429.0,59995.0,73400
University of Montevallo,42957.0,9900,25530.0,56437.0,62300
Northwest Shoals Community College,33828.0,5900,17252.0,51875.0,59300
University of North Alabama,45415.0,9800,28413.0,64932.0,68400
Northeast Alabama Community College,34913.0,5300,19863.0,53108.0,58100
Oakwood University,42488.0,7900,23113.0,67182.0,75600
Reid State Technical College,28982.0,5200,15362.0,48258.0,45700
Bishop State Community College,29916.0,5900,15254.0,47250.0,54300
